,msi_inputs,gt_outputs
0,msi_inputs/realworld_02/realworld_02_frame_00000.tif,gt_outputs/realworld_02/realworld_02_gt_00000.png
1,msi_inputs/realworld_02/realworld_02_frame_00001.tif,gt_outputs/realworld_02/realworld_02_gt_00001.png
2,msi_inputs/realworld_02/realworld_02_frame_00002.tif,gt_outputs/realworld_02/realworld_02_gt_00002.png
3,msi_inputs/realworld_02/realworld_02_frame_00003.tif,gt_outputs/realworld_02/realworld_02_gt_00003.png
4,msi_inputs/realworld_02/realworld_02_frame_00004.tif,gt_outputs/realworld_02/realworld_02_gt_00004.png
5,msi_inputs/realworld_02/realworld_02_frame_00005.tif,gt_outputs/realworld_02/realworld_02_gt_00005.png
6,msi_inputs/realworld_02/realworld_02_frame_00006.tif,gt_outputs/realworld_02/realworld_02_gt_00006.png
7,msi_inputs/realworld_02/realworld_02_frame_00007.tif,gt_outputs/realworld_02/realworld_02_gt_00007.png
8,msi_inputs/realworld_02/realworld_02_frame_00008.tif,gt_outputs/realworld_02/realworld_02_gt_00008.png
9,msi_inputs/realworld_02/realworld_02_frame_00009.tif,gt_outputs/realworld_02/realworld_02_gt_00009.png
10,msi_inputs/realworld_02/realworld_02_frame_00010.tif,gt_outputs/realworld_02/realworld_02_gt_00010.png
11,msi_inputs/realworld_02/realworld_02_frame_00011.tif,gt_outputs/realworld_02/realworld_02_gt_00011.png
12,msi_inputs/realworld_02/realworld_02_frame_00012.tif,gt_outputs/realworld_02/realworld_02_gt_00012.png
13,msi_inputs/realworld_02/realworld_02_frame_00013.tif,gt_outputs/realworld_02/realworld_02_gt_00013.png
14,msi_inputs/realworld_02/realworld_02_frame_00014.tif,gt_outputs/realworld_02/realworld_02_gt_00014.png
15,msi_inputs/realworld_02/realworld_02_frame_00015.tif,gt_outputs/realworld_02/realworld_02_gt_00015.png
16,msi_inputs/realworld_02/realworld_02_frame_00016.tif,gt_outputs/realworld_02/realworld_02_gt_00016.png
17,msi_inputs/realworld_02/realworld_02_frame_00017.tif,gt_outputs/realworld_02/realworld_02_gt_00017.png
18,msi_inputs/realworld_02/realworld_02_frame_00018.tif,gt_outputs/realworld_02/realworld_02_gt_00018.png
19,msi_inputs/realworld_02/realworld_02_frame_00019.tif,gt_outputs/realworld_02/realworld_02_gt_00019.png
20,msi_inputs/realworld_02/realworld_02_frame_00020.tif,gt_outputs/realworld_02/realworld_02_gt_00020.png
21,msi_inputs/realworld_02/realworld_02_frame_00021.tif,gt_outputs/realworld_02/realworld_02_gt_00021.png
22,msi_inputs/realworld_02/realworld_02_frame_00022.tif,gt_outputs/realworld_02/realworld_02_gt_00022.png
23,msi_inputs/realworld_02/realworld_02_frame_00023.tif,gt_outputs/realworld_02/realworld_02_gt_00023.png
24,msi_inputs/realworld_02/realworld_02_frame_00024.tif,gt_outputs/realworld_02/realworld_02_gt_00024.png
25,msi_inputs/realworld_02/realworld_02_frame_00025.tif,gt_outputs/realworld_02/realworld_02_gt_00025.png
26,msi_inputs/realworld_02/realworld_02_frame_00026.tif,gt_outputs/realworld_02/realworld_02_gt_00026.png
27,msi_inputs/realworld_02/realworld_02_frame_00027.tif,gt_outputs/realworld_02/realworld_02_gt_00027.png
28,msi_inputs/realworld_02/realworld_02_frame_00028.tif,gt_outputs/realworld_02/realworld_02_gt_00028.png
29,msi_inputs/realworld_02/realworld_02_frame_00029.tif,gt_outputs/realworld_02/realworld_02_gt_00029.png
