,msi_inputs,gt_outputs
0,msi_inputs/simulated_12/simulated_12_frame_00000.tif,gt_outputs/simulated_12/simulated_12_gt_00000.png
1,msi_inputs/simulated_12/simulated_12_frame_00001.tif,gt_outputs/simulated_12/simulated_12_gt_00001.png
2,msi_inputs/simulated_12/simulated_12_frame_00002.tif,gt_outputs/simulated_12/simulated_12_gt_00002.png
3,msi_inputs/simulated_12/simulated_12_frame_00003.tif,gt_outputs/simulated_12/simulated_12_gt_00003.png
4,msi_inputs/simulated_12/simulated_12_frame_00004.tif,gt_outputs/simulated_12/simulated_12_gt_00004.png
5,msi_inputs/simulated_12/simulated_12_frame_00005.tif,gt_outputs/simulated_12/simulated_12_gt_00005.png
6,msi_inputs/simulated_12/simulated_12_frame_00006.tif,gt_outputs/simulated_12/simulated_12_gt_00006.png
7,msi_inputs/simulated_12/simulated_12_frame_00007.tif,gt_outputs/simulated_12/simulated_12_gt_00007.png
8,msi_inputs/simulated_12/simulated_12_frame_00008.tif,gt_outputs/simulated_12/simulated_12_gt_00008.png
9,msi_inputs/simulated_12/simulated_12_frame_00009.tif,gt_outputs/simulated_12/simulated_12_gt_00009.png
10,msi_inputs/simulated_12/simulated_12_frame_00010.tif,gt_outputs/simulated_12/simulated_12_gt_00010.png
11,msi_inputs/simulated_12/simulated_12_frame_00011.tif,gt_outputs/simulated_12/simulated_12_gt_00011.png
12,msi_inputs/simulated_12/simulated_12_frame_00012.tif,gt_outputs/simulated_12/simulated_12_gt_00012.png
13,msi_inputs/simulated_12/simulated_12_frame_00013.tif,gt_outputs/simulated_12/simulated_12_gt_00013.png
14,msi_inputs/simulated_12/simulated_12_frame_00014.tif,gt_outputs/simulated_12/simulated_12_gt_00014.png
15,msi_inputs/simulated_12/simulated_12_frame_00015.tif,gt_outputs/simulated_12/simulated_12_gt_00015.png
16,msi_inputs/simulated_12/simulated_12_frame_00016.tif,gt_outputs/simulated_12/simulated_12_gt_00016.png
17,msi_inputs/simulated_12/simulated_12_frame_00017.tif,gt_outputs/simulated_12/simulated_12_gt_00017.png
18,msi_inputs/simulated_12/simulated_12_frame_00018.tif,gt_outputs/simulated_12/simulated_12_gt_00018.png
19,msi_inputs/simulated_12/simulated_12_frame_00019.tif,gt_outputs/simulated_12/simulated_12_gt_00019.png
20,msi_inputs/simulated_12/simulated_12_frame_00020.tif,gt_outputs/simulated_12/simulated_12_gt_00020.png
21,msi_inputs/simulated_12/simulated_12_frame_00021.tif,gt_outputs/simulated_12/simulated_12_gt_00021.png
22,msi_inputs/simulated_12/simulated_12_frame_00022.tif,gt_outputs/simulated_12/simulated_12_gt_00022.png
23,msi_inputs/simulated_12/simulated_12_frame_00023.tif,gt_outputs/simulated_12/simulated_12_gt_00023.png
24,msi_inputs/simulated_12/simulated_12_frame_00024.tif,gt_outputs/simulated_12/simulated_12_gt_00024.png
25,msi_inputs/simulated_12/simulated_12_frame_00025.tif,gt_outputs/simulated_12/simulated_12_gt_00025.png
26,msi_inputs/simulated_12/simulated_12_frame_00026.tif,gt_outputs/simulated_12/simulated_12_gt_00026.png
27,msi_inputs/simulated_12/simulated_12_frame_00027.tif,gt_outputs/simulated_12/simulated_12_gt_00027.png
28,msi_inputs/simulated_12/simulated_12_frame_00028.tif,gt_outputs/simulated_12/simulated_12_gt_00028.png
29,msi_inputs/simulated_12/simulated_12_frame_00029.tif,gt_outputs/simulated_12/simulated_12_gt_00029.png
30,msi_inputs/simulated_12/simulated_12_frame_00030.tif,gt_outputs/simulated_12/simulated_12_gt_00030.png
31,msi_inputs/simulated_12/simulated_12_frame_00031.tif,gt_outputs/simulated_12/simulated_12_gt_00031.png
32,msi_inputs/simulated_12/simulated_12_frame_00032.tif,gt_outputs/simulated_12/simulated_12_gt_00032.png
33,msi_inputs/simulated_12/simulated_12_frame_00033.tif,gt_outputs/simulated_12/simulated_12_gt_00033.png
34,msi_inputs/simulated_12/simulated_12_frame_00034.tif,gt_outputs/simulated_12/simulated_12_gt_00034.png
35,msi_inputs/simulated_12/simulated_12_frame_00035.tif,gt_outputs/simulated_12/simulated_12_gt_00035.png
36,msi_inputs/simulated_12/simulated_12_frame_00036.tif,gt_outputs/simulated_12/simulated_12_gt_00036.png
37,msi_inputs/simulated_12/simulated_12_frame_00037.tif,gt_outputs/simulated_12/simulated_12_gt_00037.png
38,msi_inputs/simulated_12/simulated_12_frame_00038.tif,gt_outputs/simulated_12/simulated_12_gt_00038.png
39,msi_inputs/simulated_12/simulated_12_frame_00039.tif,gt_outputs/simulated_12/simulated_12_gt_00039.png
40,msi_inputs/simulated_12/simulated_12_frame_00040.tif,gt_outputs/simulated_12/simulated_12_gt_00040.png
41,msi_inputs/simulated_12/simulated_12_frame_00041.tif,gt_outputs/simulated_12/simulated_12_gt_00041.png
42,msi_inputs/simulated_12/simulated_12_frame_00042.tif,gt_outputs/simulated_12/simulated_12_gt_00042.png
43,msi_inputs/simulated_12/simulated_12_frame_00043.tif,gt_outputs/simulated_12/simulated_12_gt_00043.png
44,msi_inputs/simulated_12/simulated_12_frame_00044.tif,gt_outputs/simulated_12/simulated_12_gt_00044.png
45,msi_inputs/simulated_12/simulated_12_frame_00045.tif,gt_outputs/simulated_12/simulated_12_gt_00045.png
46,msi_inputs/simulated_12/simulated_12_frame_00046.tif,gt_outputs/simulated_12/simulated_12_gt_00046.png
47,msi_inputs/simulated_12/simulated_12_frame_00047.tif,gt_outputs/simulated_12/simulated_12_gt_00047.png
48,msi_inputs/simulated_12/simulated_12_frame_00048.tif,gt_outputs/simulated_12/simulated_12_gt_00048.png
49,msi_inputs/simulated_12/simulated_12_frame_00049.tif,gt_outputs/simulated_12/simulated_12_gt_00049.png
50,msi_inputs/simulated_12/simulated_12_frame_00050.tif,gt_outputs/simulated_12/simulated_12_gt_00050.png
51,msi_inputs/simulated_12/simulated_12_frame_00051.tif,gt_outputs/simulated_12/simulated_12_gt_00051.png
52,msi_inputs/simulated_12/simulated_12_frame_00052.tif,gt_outputs/simulated_12/simulated_12_gt_00052.png
53,msi_inputs/simulated_12/simulated_12_frame_00053.tif,gt_outputs/simulated_12/simulated_12_gt_00053.png
54,msi_inputs/simulated_12/simulated_12_frame_00054.tif,gt_outputs/simulated_12/simulated_12_gt_00054.png
55,msi_inputs/simulated_12/simulated_12_frame_00055.tif,gt_outputs/simulated_12/simulated_12_gt_00055.png
56,msi_inputs/simulated_12/simulated_12_frame_00056.tif,gt_outputs/simulated_12/simulated_12_gt_00056.png
57,msi_inputs/simulated_12/simulated_12_frame_00057.tif,gt_outputs/simulated_12/simulated_12_gt_00057.png
58,msi_inputs/simulated_12/simulated_12_frame_00058.tif,gt_outputs/simulated_12/simulated_12_gt_00058.png
59,msi_inputs/simulated_12/simulated_12_frame_00059.tif,gt_outputs/simulated_12/simulated_12_gt_00059.png
60,msi_inputs/simulated_12/simulated_12_frame_00060.tif,gt_outputs/simulated_12/simulated_12_gt_00060.png
61,msi_inputs/simulated_12/simulated_12_frame_00061.tif,gt_outputs/simulated_12/simulated_12_gt_00061.png
62,msi_inputs/simulated_12/simulated_12_frame_00062.tif,gt_outputs/simulated_12/simulated_12_gt_00062.png
63,msi_inputs/simulated_12/simulated_12_frame_00063.tif,gt_outputs/simulated_12/simulated_12_gt_00063.png
64,msi_inputs/simulated_12/simulated_12_frame_00064.tif,gt_outputs/simulated_12/simulated_12_gt_00064.png
65,msi_inputs/simulated_12/simulated_12_frame_00065.tif,gt_outputs/simulated_12/simulated_12_gt_00065.png
66,msi_inputs/simulated_12/simulated_12_frame_00066.tif,gt_outputs/simulated_12/simulated_12_gt_00066.png
67,msi_inputs/simulated_12/simulated_12_frame_00067.tif,gt_outputs/simulated_12/simulated_12_gt_00067.png
68,msi_inputs/simulated_12/simulated_12_frame_00068.tif,gt_outputs/simulated_12/simulated_12_gt_00068.png
69,msi_inputs/simulated_12/simulated_12_frame_00069.tif,gt_outputs/simulated_12/simulated_12_gt_00069.png
