,msi_inputs,gt_outputs
0,msi_inputs/simulated_01/simulated_01_frame_00072.tif,gt_outputs/simulated_01/simulated_01_gt_00072.png
1,msi_inputs/simulated_01/simulated_01_frame_00006.tif,gt_outputs/simulated_01/simulated_01_gt_00006.png
2,msi_inputs/simulated_01/simulated_01_frame_00151.tif,gt_outputs/simulated_01/simulated_01_gt_00151.png
3,msi_inputs/simulated_01/simulated_01_frame_00158.tif,gt_outputs/simulated_01/simulated_01_gt_00158.png
4,msi_inputs/simulated_01/simulated_01_frame_00176.tif,gt_outputs/simulated_01/simulated_01_gt_00176.png
5,msi_inputs/simulated_01/simulated_01_frame_00107.tif,gt_outputs/simulated_01/simulated_01_gt_00107.png
6,msi_inputs/simulated_01/simulated_01_frame_00149.tif,gt_outputs/simulated_01/simulated_01_gt_00149.png
7,msi_inputs/simulated_01/simulated_01_frame_00061.tif,gt_outputs/simulated_01/simulated_01_gt_00061.png
8,msi_inputs/simulated_01/simulated_01_frame_00084.tif,gt_outputs/simulated_01/simulated_01_gt_00084.png
9,msi_inputs/simulated_01/simulated_01_frame_00090.tif,gt_outputs/simulated_01/simulated_01_gt_00090.png
10,msi_inputs/simulated_01/simulated_01_frame_00038.tif,gt_outputs/simulated_01/simulated_01_gt_00038.png
11,msi_inputs/simulated_01/simulated_01_frame_00174.tif,gt_outputs/simulated_01/simulated_01_gt_00174.png
12,msi_inputs/simulated_01/simulated_01_frame_00058.tif,gt_outputs/simulated_01/simulated_01_gt_00058.png
13,msi_inputs/simulated_01/simulated_01_frame_00124.tif,gt_outputs/simulated_01/simulated_01_gt_00124.png
14,msi_inputs/simulated_01/simulated_01_frame_00106.tif,gt_outputs/simulated_01/simulated_01_gt_00106.png
15,msi_inputs/simulated_01/simulated_01_frame_00175.tif,gt_outputs/simulated_01/simulated_01_gt_00175.png
16,msi_inputs/simulated_01/simulated_01_frame_00117.tif,gt_outputs/simulated_01/simulated_01_gt_00117.png
17,msi_inputs/simulated_01/simulated_01_frame_00035.tif,gt_outputs/simulated_01/simulated_01_gt_00035.png
18,msi_inputs/simulated_01/simulated_01_frame_00111.tif,gt_outputs/simulated_01/simulated_01_gt_00111.png
19,msi_inputs/simulated_01/simulated_01_frame_00137.tif,gt_outputs/simulated_01/simulated_01_gt_00137.png
20,msi_inputs/simulated_01/simulated_01_frame_00125.tif,gt_outputs/simulated_01/simulated_01_gt_00125.png
