,msi_inputs,gt_outputs
0,msi_inputs/simulated_12/simulated_12_frame_00000.tif msi_inputs/simulated_12/simulated_12_frame_00001.tif msi_inputs/simulated_12/simulated_12_frame_00002.tif msi_inputs/simulated_12/simulated_12_frame_00003.tif msi_inputs/simulated_12/simulated_12_frame_00004.tif msi_inputs/simulated_12/simulated_12_frame_00005.tif msi_inputs/simulated_12/simulated_12_frame_00006.tif msi_inputs/simulated_12/simulated_12_frame_00007.tif,gt_outputs/simulated_12/simulated_12_gt_00000.png gt_outputs/simulated_12/simulated_12_gt_00001.png gt_outputs/simulated_12/simulated_12_gt_00002.png gt_outputs/simulated_12/simulated_12_gt_00003.png gt_outputs/simulated_12/simulated_12_gt_00004.png gt_outputs/simulated_12/simulated_12_gt_00005.png gt_outputs/simulated_12/simulated_12_gt_00006.png gt_outputs/simulated_12/simulated_12_gt_00007.png
1,msi_inputs/simulated_12/simulated_12_frame_00008.tif msi_inputs/simulated_12/simulated_12_frame_00009.tif msi_inputs/simulated_12/simulated_12_frame_00010.tif msi_inputs/simulated_12/simulated_12_frame_00011.tif msi_inputs/simulated_12/simulated_12_frame_00012.tif msi_inputs/simulated_12/simulated_12_frame_00013.tif msi_inputs/simulated_12/simulated_12_frame_00014.tif msi_inputs/simulated_12/simulated_12_frame_00015.tif,gt_outputs/simulated_12/simulated_12_gt_00008.png gt_outputs/simulated_12/simulated_12_gt_00009.png gt_outputs/simulated_12/simulated_12_gt_00010.png gt_outputs/simulated_12/simulated_12_gt_00011.png gt_outputs/simulated_12/simulated_12_gt_00012.png gt_outputs/simulated_12/simulated_12_gt_00013.png gt_outputs/simulated_12/simulated_12_gt_00014.png gt_outputs/simulated_12/simulated_12_gt_00015.png
2,msi_inputs/simulated_12/simulated_12_frame_00016.tif msi_inputs/simulated_12/simulated_12_frame_00017.tif msi_inputs/simulated_12/simulated_12_frame_00018.tif msi_inputs/simulated_12/simulated_12_frame_00019.tif msi_inputs/simulated_12/simulated_12_frame_00020.tif msi_inputs/simulated_12/simulated_12_frame_00021.tif msi_inputs/simulated_12/simulated_12_frame_00022.tif msi_inputs/simulated_12/simulated_12_frame_00023.tif,gt_outputs/simulated_12/simulated_12_gt_00016.png gt_outputs/simulated_12/simulated_12_gt_00017.png gt_outputs/simulated_12/simulated_12_gt_00018.png gt_outputs/simulated_12/simulated_12_gt_00019.png gt_outputs/simulated_12/simulated_12_gt_00020.png gt_outputs/simulated_12/simulated_12_gt_00021.png gt_outputs/simulated_12/simulated_12_gt_00022.png gt_outputs/simulated_12/simulated_12_gt_00023.png
3,msi_inputs/simulated_12/simulated_12_frame_00024.tif msi_inputs/simulated_12/simulated_12_frame_00025.tif msi_inputs/simulated_12/simulated_12_frame_00026.tif msi_inputs/simulated_12/simulated_12_frame_00027.tif msi_inputs/simulated_12/simulated_12_frame_00028.tif msi_inputs/simulated_12/simulated_12_frame_00029.tif msi_inputs/simulated_12/simulated_12_frame_00030.tif msi_inputs/simulated_12/simulated_12_frame_00031.tif,gt_outputs/simulated_12/simulated_12_gt_00024.png gt_outputs/simulated_12/simulated_12_gt_00025.png gt_outputs/simulated_12/simulated_12_gt_00026.png gt_outputs/simulated_12/simulated_12_gt_00027.png gt_outputs/simulated_12/simulated_12_gt_00028.png gt_outputs/simulated_12/simulated_12_gt_00029.png gt_outputs/simulated_12/simulated_12_gt_00030.png gt_outputs/simulated_12/simulated_12_gt_00031.png
4,msi_inputs/simulated_12/simulated_12_frame_00032.tif msi_inputs/simulated_12/simulated_12_frame_00033.tif msi_inputs/simulated_12/simulated_12_frame_00034.tif msi_inputs/simulated_12/simulated_12_frame_00035.tif msi_inputs/simulated_12/simulated_12_frame_00036.tif msi_inputs/simulated_12/simulated_12_frame_00037.tif msi_inputs/simulated_12/simulated_12_frame_00038.tif msi_inputs/simulated_12/simulated_12_frame_00039.tif,gt_outputs/simulated_12/simulated_12_gt_00032.png gt_outputs/simulated_12/simulated_12_gt_00033.png gt_outputs/simulated_12/simulated_12_gt_00034.png gt_outputs/simulated_12/simulated_12_gt_00035.png gt_outputs/simulated_12/simulated_12_gt_00036.png gt_outputs/simulated_12/simulated_12_gt_00037.png gt_outputs/simulated_12/simulated_12_gt_00038.png gt_outputs/simulated_12/simulated_12_gt_00039.png
5,msi_inputs/simulated_12/simulated_12_frame_00040.tif msi_inputs/simulated_12/simulated_12_frame_00041.tif msi_inputs/simulated_12/simulated_12_frame_00042.tif msi_inputs/simulated_12/simulated_12_frame_00043.tif msi_inputs/simulated_12/simulated_12_frame_00044.tif msi_inputs/simulated_12/simulated_12_frame_00045.tif msi_inputs/simulated_12/simulated_12_frame_00046.tif msi_inputs/simulated_12/simulated_12_frame_00047.tif,gt_outputs/simulated_12/simulated_12_gt_00040.png gt_outputs/simulated_12/simulated_12_gt_00041.png gt_outputs/simulated_12/simulated_12_gt_00042.png gt_outputs/simulated_12/simulated_12_gt_00043.png gt_outputs/simulated_12/simulated_12_gt_00044.png gt_outputs/simulated_12/simulated_12_gt_00045.png gt_outputs/simulated_12/simulated_12_gt_00046.png gt_outputs/simulated_12/simulated_12_gt_00047.png
6,msi_inputs/simulated_12/simulated_12_frame_00048.tif msi_inputs/simulated_12/simulated_12_frame_00049.tif msi_inputs/simulated_12/simulated_12_frame_00050.tif msi_inputs/simulated_12/simulated_12_frame_00051.tif msi_inputs/simulated_12/simulated_12_frame_00052.tif msi_inputs/simulated_12/simulated_12_frame_00053.tif msi_inputs/simulated_12/simulated_12_frame_00054.tif msi_inputs/simulated_12/simulated_12_frame_00055.tif,gt_outputs/simulated_12/simulated_12_gt_00048.png gt_outputs/simulated_12/simulated_12_gt_00049.png gt_outputs/simulated_12/simulated_12_gt_00050.png gt_outputs/simulated_12/simulated_12_gt_00051.png gt_outputs/simulated_12/simulated_12_gt_00052.png gt_outputs/simulated_12/simulated_12_gt_00053.png gt_outputs/simulated_12/simulated_12_gt_00054.png gt_outputs/simulated_12/simulated_12_gt_00055.png
7,msi_inputs/simulated_12/simulated_12_frame_00056.tif msi_inputs/simulated_12/simulated_12_frame_00057.tif msi_inputs/simulated_12/simulated_12_frame_00058.tif msi_inputs/simulated_12/simulated_12_frame_00059.tif msi_inputs/simulated_12/simulated_12_frame_00060.tif msi_inputs/simulated_12/simulated_12_frame_00061.tif msi_inputs/simulated_12/simulated_12_frame_00062.tif msi_inputs/simulated_12/simulated_12_frame_00063.tif,gt_outputs/simulated_12/simulated_12_gt_00056.png gt_outputs/simulated_12/simulated_12_gt_00057.png gt_outputs/simulated_12/simulated_12_gt_00058.png gt_outputs/simulated_12/simulated_12_gt_00059.png gt_outputs/simulated_12/simulated_12_gt_00060.png gt_outputs/simulated_12/simulated_12_gt_00061.png gt_outputs/simulated_12/simulated_12_gt_00062.png gt_outputs/simulated_12/simulated_12_gt_00063.png
8,msi_inputs/simulated_12/simulated_12_frame_00064.tif msi_inputs/simulated_12/simulated_12_frame_00065.tif msi_inputs/simulated_12/simulated_12_frame_00066.tif msi_inputs/simulated_12/simulated_12_frame_00067.tif msi_inputs/simulated_12/simulated_12_frame_00068.tif msi_inputs/simulated_12/simulated_12_frame_00069.tif msi_inputs/simulated_12/simulated_12_frame_00070.tif msi_inputs/simulated_12/simulated_12_frame_00071.tif,gt_outputs/simulated_12/simulated_12_gt_00064.png gt_outputs/simulated_12/simulated_12_gt_00065.png gt_outputs/simulated_12/simulated_12_gt_00066.png gt_outputs/simulated_12/simulated_12_gt_00067.png gt_outputs/simulated_12/simulated_12_gt_00068.png gt_outputs/simulated_12/simulated_12_gt_00069.png gt_outputs/simulated_12/simulated_12_gt_00070.png gt_outputs/simulated_12/simulated_12_gt_00071.png
9,msi_inputs/simulated_12/simulated_12_frame_00072.tif msi_inputs/simulated_12/simulated_12_frame_00073.tif msi_inputs/simulated_12/simulated_12_frame_00074.tif msi_inputs/simulated_12/simulated_12_frame_00075.tif msi_inputs/simulated_12/simulated_12_frame_00076.tif msi_inputs/simulated_12/simulated_12_frame_00077.tif msi_inputs/simulated_12/simulated_12_frame_00078.tif msi_inputs/simulated_12/simulated_12_frame_00079.tif,gt_outputs/simulated_12/simulated_12_gt_00072.png gt_outputs/simulated_12/simulated_12_gt_00073.png gt_outputs/simulated_12/simulated_12_gt_00074.png gt_outputs/simulated_12/simulated_12_gt_00075.png gt_outputs/simulated_12/simulated_12_gt_00076.png gt_outputs/simulated_12/simulated_12_gt_00077.png gt_outputs/simulated_12/simulated_12_gt_00078.png gt_outputs/simulated_12/simulated_12_gt_00079.png
