,msi_inputs,gt_outputs
0,msi_inputs/simulated_01/simulated_01_frame_00004.tif msi_inputs/simulated_01/simulated_01_frame_00009.tif msi_inputs/simulated_01/simulated_01_frame_00014.tif msi_inputs/simulated_01/simulated_01_frame_00019.tif msi_inputs/simulated_01/simulated_01_frame_00024.tif msi_inputs/simulated_01/simulated_01_frame_00029.tif msi_inputs/simulated_01/simulated_01_frame_00034.tif msi_inputs/simulated_01/simulated_01_frame_00039.tif,gt_outputs/simulated_01/simulated_01_gt_00004.png gt_outputs/simulated_01/simulated_01_gt_00009.png gt_outputs/simulated_01/simulated_01_gt_00014.png gt_outputs/simulated_01/simulated_01_gt_00019.png gt_outputs/simulated_01/simulated_01_gt_00024.png gt_outputs/simulated_01/simulated_01_gt_00029.png gt_outputs/simulated_01/simulated_01_gt_00034.png gt_outputs/simulated_01/simulated_01_gt_00039.png
1,msi_inputs/simulated_01/simulated_01_frame_00088.tif msi_inputs/simulated_01/simulated_01_frame_00089.tif msi_inputs/simulated_01/simulated_01_frame_00090.tif msi_inputs/simulated_01/simulated_01_frame_00091.tif msi_inputs/simulated_01/simulated_01_frame_00092.tif msi_inputs/simulated_01/simulated_01_frame_00093.tif msi_inputs/simulated_01/simulated_01_frame_00094.tif msi_inputs/simulated_01/simulated_01_frame_00095.tif,gt_outputs/simulated_01/simulated_01_gt_00088.png gt_outputs/simulated_01/simulated_01_gt_00089.png gt_outputs/simulated_01/simulated_01_gt_00090.png gt_outputs/simulated_01/simulated_01_gt_00091.png gt_outputs/simulated_01/simulated_01_gt_00092.png gt_outputs/simulated_01/simulated_01_gt_00093.png gt_outputs/simulated_01/simulated_01_gt_00094.png gt_outputs/simulated_01/simulated_01_gt_00095.png
2,msi_inputs/simulated_01/simulated_01_frame_00042.tif msi_inputs/simulated_01/simulated_01_frame_00047.tif msi_inputs/simulated_01/simulated_01_frame_00052.tif msi_inputs/simulated_01/simulated_01_frame_00057.tif msi_inputs/simulated_01/simulated_01_frame_00062.tif msi_inputs/simulated_01/simulated_01_frame_00067.tif msi_inputs/simulated_01/simulated_01_frame_00072.tif msi_inputs/simulated_01/simulated_01_frame_00077.tif,gt_outputs/simulated_01/simulated_01_gt_00042.png gt_outputs/simulated_01/simulated_01_gt_00047.png gt_outputs/simulated_01/simulated_01_gt_00052.png gt_outputs/simulated_01/simulated_01_gt_00057.png gt_outputs/simulated_01/simulated_01_gt_00062.png gt_outputs/simulated_01/simulated_01_gt_00067.png gt_outputs/simulated_01/simulated_01_gt_00072.png gt_outputs/simulated_01/simulated_01_gt_00077.png
3,msi_inputs/simulated_01/simulated_01_frame_00083.tif msi_inputs/simulated_01/simulated_01_frame_00088.tif msi_inputs/simulated_01/simulated_01_frame_00093.tif msi_inputs/simulated_01/simulated_01_frame_00098.tif msi_inputs/simulated_01/simulated_01_frame_00103.tif msi_inputs/simulated_01/simulated_01_frame_00108.tif msi_inputs/simulated_01/simulated_01_frame_00113.tif msi_inputs/simulated_01/simulated_01_frame_00118.tif,gt_outputs/simulated_01/simulated_01_gt_00083.png gt_outputs/simulated_01/simulated_01_gt_00088.png gt_outputs/simulated_01/simulated_01_gt_00093.png gt_outputs/simulated_01/simulated_01_gt_00098.png gt_outputs/simulated_01/simulated_01_gt_00103.png gt_outputs/simulated_01/simulated_01_gt_00108.png gt_outputs/simulated_01/simulated_01_gt_00113.png gt_outputs/simulated_01/simulated_01_gt_00118.png
4,msi_inputs/simulated_01/simulated_01_frame_00021.tif msi_inputs/simulated_01/simulated_01_frame_00046.tif msi_inputs/simulated_01/simulated_01_frame_00071.tif msi_inputs/simulated_01/simulated_01_frame_00096.tif msi_inputs/simulated_01/simulated_01_frame_00121.tif msi_inputs/simulated_01/simulated_01_frame_00146.tif msi_inputs/simulated_01/simulated_01_frame_00171.tif msi_inputs/simulated_01/simulated_01_frame_00196.tif,gt_outputs/simulated_01/simulated_01_gt_00021.png gt_outputs/simulated_01/simulated_01_gt_00046.png gt_outputs/simulated_01/simulated_01_gt_00071.png gt_outputs/simulated_01/simulated_01_gt_00096.png gt_outputs/simulated_01/simulated_01_gt_00121.png gt_outputs/simulated_01/simulated_01_gt_00146.png gt_outputs/simulated_01/simulated_01_gt_00171.png gt_outputs/simulated_01/simulated_01_gt_00196.png
5,msi_inputs/simulated_01/simulated_01_frame_00122.tif msi_inputs/simulated_01/simulated_01_frame_00127.tif msi_inputs/simulated_01/simulated_01_frame_00132.tif msi_inputs/simulated_01/simulated_01_frame_00137.tif msi_inputs/simulated_01/simulated_01_frame_00142.tif msi_inputs/simulated_01/simulated_01_frame_00147.tif msi_inputs/simulated_01/simulated_01_frame_00152.tif msi_inputs/simulated_01/simulated_01_frame_00157.tif,gt_outputs/simulated_01/simulated_01_gt_00122.png gt_outputs/simulated_01/simulated_01_gt_00127.png gt_outputs/simulated_01/simulated_01_gt_00132.png gt_outputs/simulated_01/simulated_01_gt_00137.png gt_outputs/simulated_01/simulated_01_gt_00142.png gt_outputs/simulated_01/simulated_01_gt_00147.png gt_outputs/simulated_01/simulated_01_gt_00152.png gt_outputs/simulated_01/simulated_01_gt_00157.png
6,msi_inputs/simulated_01/simulated_01_frame_00084.tif msi_inputs/simulated_01/simulated_01_frame_00089.tif msi_inputs/simulated_01/simulated_01_frame_00094.tif msi_inputs/simulated_01/simulated_01_frame_00099.tif msi_inputs/simulated_01/simulated_01_frame_00104.tif msi_inputs/simulated_01/simulated_01_frame_00109.tif msi_inputs/simulated_01/simulated_01_frame_00114.tif msi_inputs/simulated_01/simulated_01_frame_00119.tif,gt_outputs/simulated_01/simulated_01_gt_00084.png gt_outputs/simulated_01/simulated_01_gt_00089.png gt_outputs/simulated_01/simulated_01_gt_00094.png gt_outputs/simulated_01/simulated_01_gt_00099.png gt_outputs/simulated_01/simulated_01_gt_00104.png gt_outputs/simulated_01/simulated_01_gt_00109.png gt_outputs/simulated_01/simulated_01_gt_00114.png gt_outputs/simulated_01/simulated_01_gt_00119.png
7,msi_inputs/simulated_01/simulated_01_frame_00120.tif msi_inputs/simulated_01/simulated_01_frame_00121.tif msi_inputs/simulated_01/simulated_01_frame_00122.tif msi_inputs/simulated_01/simulated_01_frame_00123.tif msi_inputs/simulated_01/simulated_01_frame_00124.tif msi_inputs/simulated_01/simulated_01_frame_00125.tif msi_inputs/simulated_01/simulated_01_frame_00126.tif msi_inputs/simulated_01/simulated_01_frame_00127.tif,gt_outputs/simulated_01/simulated_01_gt_00120.png gt_outputs/simulated_01/simulated_01_gt_00121.png gt_outputs/simulated_01/simulated_01_gt_00122.png gt_outputs/simulated_01/simulated_01_gt_00123.png gt_outputs/simulated_01/simulated_01_gt_00124.png gt_outputs/simulated_01/simulated_01_gt_00125.png gt_outputs/simulated_01/simulated_01_gt_00126.png gt_outputs/simulated_01/simulated_01_gt_00127.png
8,msi_inputs/simulated_01/simulated_01_frame_00080.tif msi_inputs/simulated_01/simulated_01_frame_00090.tif msi_inputs/simulated_01/simulated_01_frame_00100.tif msi_inputs/simulated_01/simulated_01_frame_00110.tif msi_inputs/simulated_01/simulated_01_frame_00120.tif msi_inputs/simulated_01/simulated_01_frame_00130.tif msi_inputs/simulated_01/simulated_01_frame_00140.tif msi_inputs/simulated_01/simulated_01_frame_00150.tif,gt_outputs/simulated_01/simulated_01_gt_00080.png gt_outputs/simulated_01/simulated_01_gt_00090.png gt_outputs/simulated_01/simulated_01_gt_00100.png gt_outputs/simulated_01/simulated_01_gt_00110.png gt_outputs/simulated_01/simulated_01_gt_00120.png gt_outputs/simulated_01/simulated_01_gt_00130.png gt_outputs/simulated_01/simulated_01_gt_00140.png gt_outputs/simulated_01/simulated_01_gt_00150.png
9,msi_inputs/simulated_01/simulated_01_frame_00008.tif msi_inputs/simulated_01/simulated_01_frame_00033.tif msi_inputs/simulated_01/simulated_01_frame_00058.tif msi_inputs/simulated_01/simulated_01_frame_00083.tif msi_inputs/simulated_01/simulated_01_frame_00108.tif msi_inputs/simulated_01/simulated_01_frame_00133.tif msi_inputs/simulated_01/simulated_01_frame_00158.tif msi_inputs/simulated_01/simulated_01_frame_00183.tif,gt_outputs/simulated_01/simulated_01_gt_00008.png gt_outputs/simulated_01/simulated_01_gt_00033.png gt_outputs/simulated_01/simulated_01_gt_00058.png gt_outputs/simulated_01/simulated_01_gt_00083.png gt_outputs/simulated_01/simulated_01_gt_00108.png gt_outputs/simulated_01/simulated_01_gt_00133.png gt_outputs/simulated_01/simulated_01_gt_00158.png gt_outputs/simulated_01/simulated_01_gt_00183.png
